name,vn_kv,type,zone,in_service
nuclear,25,n,None,TRUE
load1_i1,36,n,None,TRUE
load2_i1,36,n,None,TRUE
load2_i2,36,n,None,TRUE
load2_i3,36,n,None,TRUE
intercon,220,n,None,TRUE
dismant,25,n,None,TRUE
nl,220,n,None,TRUE
l1_i1,220,n,None,TRUE
l2_i1,220,n,None,TRUE
l2_i2,220,n,None,TRUE
l2_i3,220,n,None,TRUE
dm,220,n,None,TRUE
solar_l,25,n,None,TRUE
solar_h,220,n,None,TRUE
wind_l,25,n,None,TRUE
wind_h,220,n,None,TRUE
stor_l,25,n,None,TRUE
stor_h,220,n,None,TRUE
